Connected as 123713644@ensignservices.net
Connected to... PCCA Package
Name                                       Copilot ID                           Component State Is Managed Solution ID                          Status Code State Code
SNF AI Dashboard Repack 2026-04-21         240fceb1-1ac3-4e61-b812-979e2f5a855f Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Trend_Analyzer (Therapy Sync 2026-04-21)   d54be637-8d65-4883-ae9e-844567d9becd Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SimpleLTC QM Coach V2 Hardened             cfbf6064-e234-4b3b-ba4c-676e7c54d398 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SLP_Specialist (Therapy Sync 2026-04-21)   3bb283a1-8cf2-47fc-8c0f-663b15ec669c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SLP_Specialist                             7a6233df-f709-4fb6-b087-571f5788da44 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
POSTette_Compliance_Agent                  46fc71c2-cd94-49fd-ac9a-54e18c03834b Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Fact_Checker (Therapy Sync 2026-04-21)     081f1e05-90f5-48b2-928f-392270709b5e Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Rules_Engine_Medicare_Ch15                 7b42e788-4528-4468-b674-27f694a78e0b Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
PT_Specialist (Therapy Sync 2026-04-21)    94c30850-2e2c-4fc1-869f-25e6f78d399a Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Interdisciplinary_Coordinator              39c344c9-f7d0-4f95-b89c-1fde4f335c84 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Fact_Checker                               e2e4156f-2fc5-42e2-9141-1c5c137bb1a6 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Consensus_Engine                           bf7eb4d3-542d-f111-88b4-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Coaching_Agent (Therapy Sync 2026-04-21)   9f4784fa-4a01-4167-b682-ef7e037430ec Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Consensus_Engine_20260331160136     01f0217c-a6ca-4679-95e1-b9d198abea68 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
OT_Specialist (Therapy Sync 2026-04-21)    d00a2a35-2a38-4081-9400-a25f67ed286f Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Prior_Auth_Validator_03311601       70ca611b-f929-4ad0-8cb8-83110308094a Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
